filename,width,height,class,xmin,ymin,xmax,ymax
frame-001.json,999,999,person,201.47290394823972,564.7742551333615,364.11872347065037,937.784246665961
frame-001.json,999,999,person,333.4245502849359,510.1242153167723,416.2863844662748,673.8530691708253
frame-001.json,999,999,person,1485.9265103869068,418.3242153167723,1507.5232678209416,357.5742153167724
frame-001.json,999,999,person,1505.0109618845925,358.8193909864434,1526.9243330356196,421.0600454142947
frame-001.json,999,999,person,1450.5350595567827,356.67382348045265,1475.0780352459328,437.32368555597816
frame-001.json,999,999,person,1400.572573332441,357.5504524160562,1425.1155490215913,433.817169813564
frame-001.json,999,999,person,1347.980482569976,362.81022602967744,1383.0418764116193,409.27155961666494
frame-001.json,999,999,person,1139.3651892121984,648.591259036431,1236.8389684575143,404.2597994808092
frame-001.json,999,999,person,1261.2035328119089,415.4079621658897,1318.1782978045792,496.93445317701884
frame-001.json,999,999,person,1293.6353221154288,434.69379874916757,1362.0050401066333,517.0969186959002
frame-001.json,999,999,person,1336.585529571442,451.3497485256348,1390.054155179948,389.9857230333871
frame-001.json,999,999,person,1305.9068099600038,468.00569830210196,1359.3754355685098,395.2454966470084
frame-001.json,999,999,person,1568.8672637723287,446.9666038476171,1624.088959072917,551.2854471844381
frame-001.json,999,999,person,1521.7728129979264,543.9059476763287,1572.234438360931,453.0648261810016
frame-001.json,999,999,person,1635.8160863183173,495.45734954548755,1677.194619115981,398.56015328380533
frame-001.json,999,999,person,1659.0284339852992,433.8872560875437,1715.5454543918647,625.662957022123
frame-001.json,999,999,person,1527.828208041487,905.251742068852,1682.2407816522814,691.270433657637
frame-001.json,999,999,person,1605.5391111005142,622.6349196389455,1718.304018899067,807.3452000127771
frame-001.json,999,999,person,994.9534442081571,889.4386682242987,1180.407367493098,668.5858752429892
frame-001.json,999,999,person,1162.4860404133328,606.8218457943923,1290.6585688353648,843.0087616822427
frame-001.json,999,999,person,1246.2523385159207,831.9059579439249,1541.1973961534777,1074.2918372420115
frame-001.json,999,999,person,542.12882275108,789.4311880427401,751.4396613076334,1059.4327488847237
frame-001.json,999,999,person,740.7362661541731,1041.5912360537554,935.7591188994726,788.4629875539756
frame-001.json,999,999,head,202.34943879428087,564.873195686293,249.68232048049933,627.9904790497478
frame-001.json,999,999,head,344.34808385293627,511.39883061447716,374.67535594529124,546.4639880386187
frame-001.json,999,999,head,585.395166514234,791.4817487872157,677.4313253485477,896.6772210596401
frame-001.json,999,999,head,799.269668948258,788.851861980405,884.7485680158579,883.5277870255871
frame-001.json,999,999,head,1290.1772173651261,833.4402530257948,1391.5296572787602,958.3308428425713
